wave,post_url,post_owner,commenter,likes,text
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,living_lux_with_meredith,12,"I see blisters, mould and sweaty toes in their future"
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,wendythewit,1,You make a solid point about the foot pics ahahaha
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,brysonsutton2021,1,"bad,  ouch,  stink,  no"
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,lisa_demasi_,1,😂
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,rromanalexander,1,I’m so glad you made this because I’ve been looking at these all day in disgust 🤢😂😂😂😂 I love Saint Laurent but these are a HARD pass lol
w3,https://www.instagram.com/p/DZ9QkR0xOF-/,theclosetbyconnor_,helen.mallinson,1,Eeeew wouldn't they just all steam up inside? 🤮
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,chxntib,1,That damn guitar strap 🥴🥴🥴
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,kylma_noir,2,Pharrell’s a hack
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,petiteplate,2,Silk and nylon are 2 fabrics that should never be put together…
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,lifeasbrandonnyc,2,They wanna be Prada so bad 😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,khatt512,2,Water doesn’t stain leather…
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,_mphuthi_,2,That last XL bag looks like a diaper bag. Form follows function to me 🤷🏽‍♀️
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,jadoregiason,1,Say it louder! 🤣
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,lolite_a,3,The price point is wild
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,awwwsnap,1,Had the same stain questiom from the moment it was released!
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,billybraxton,1,👏
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,ktheaccountant_,2,I need to go touch and feel it before I give my analysis.
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,ashtonothing,1,👏
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,renee.nlpa,1,I was also getting allergic reaction vibes when I read nylon 😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,owo4122,2,Wow not
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,craig4lv,1,I’ve had several “ water resistant “ LV cup bags that deteriorate after about 5 years. It’s a no for me
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,aflah_kahfi,0,follow
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,longbonhomme,0,🔥🔥 and for tall !
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,navkhuttan,0,🔥🔥🔥🔥
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,godfirstsonnn,1,@brotherwiththebeard might have to teach me a thing or two about style 🔥. Even though I’m a plus size Latina from NJ this gentleman has just inspired me 💃🏻🙌🏿
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,bitemyheathbar,0,Oooh these are my type too lol Okay now who’s single?👀
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,divine_rightt,1,Plot twist…he’s yoked 💪🏽
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,erronjay,0,This is great. I'd love to be apart. Also a fly bug guy meet up would be dope.
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,collectingrevenue,0,Make sure it’s actual big guys if they can fit Zara they small 😂😂
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,mandilla_clementigallo,0,🤝🏾
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,jamaicajacobson,0,So glad I came across your page. Definitely following you.
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,franckmarie_ganye,0,@jamal.rosyne
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,jay.justice.dray,1,He don’t miss!!
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,dontecsmith,1,This is good !!!
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,justcallmechoxx,1,Goat 👏🏽👏🏽🔥
w3,https://www.instagram.com/p/DcV3Je9Kxs8/,tnt_safo,yag.alvarez,0,Mention me😢
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,salutemarajpierce,2,Wow I been eyeing the nail bag you just read me down what the bloody hell did I do!!!!
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,ozspears,1,Why does a men’s Avenue (pm) cost the same as a Speedy 30??!
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,will.i.am.tired,21,"it’s nylon so probably costs cents to produce and let’s be real, the silk they’re using is likely the cheapest in the market  coated canvas was already a cheap material to use for a bag but I guess they’re trying to bring the bar lower  literally putting lipstick on a pig"
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,haneckow220,1,What's annoying about Louis Vuitton is that they have no problem ripping people's styles off like VANS. Louis is TACKY AF for that shit!
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,eltigre85,0,"Terrible Ideas, Terrible Design, Terrible All Around"
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,xelton.sai,1,You kill it 😂😂😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,sanelamusic,2,It’s all the marketing buzz words trying to convince us to spend 4K on NYLON 😂
