Hero SKU	Product Name	Shopify SKU Variants	Photo Link	Quantity	Weight (Grams)	Dimensions (LxWxH in CM)
VEL-ELE	The Eleanor Weekender - Army Green	VEL-ELE-AGR	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/green1_86cf21f0-ff84-4f5a-8009-cb98c6a259f2.webp	0	1300	46x18x37
VEL-COL	The Colette Wool Tote - Caramel	VEL-COL-CRM	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/colette-canonical-caramel-v3.png	0	TBC	50x18x26
VEL-COL	The Colette Wool Tote - Espresso	VEL-COL-ESP	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/colette-v3-espresso-hero.png	0	TBC	50x18x26
VEL-ING	The Ingrid Top Handle Tote - Bordeaux Brown	VEL-ING-BDX	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/ingrid-bordeaux-brown-hero.jpg	0	TBC	38x16x31
VEL-ING	The Ingrid Top Handle Tote - Midnight Black	VEL-ING-MBK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/ingrid-midnight-black-hero.jpg	0	TBC	38x16x31
VEL-ING	The Ingrid Top Handle Tote - Cognac	VEL-ING-CGC	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/ingrid-cognac-hero.jpg	0	TBC	38x16x31
VEL-ORG	Velantra Bag Organizer - Small (8.66x4.5x5.3 in)	VEL-ORG-SM	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/image_CIs.png	0	TBC	22x11.5x13.5
VEL-ORG	Velantra Bag Organizer - Medium (9.25x5.1x5.9 in)	VEL-ORG-MD	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/image_CIs.png	0	TBC	23.5x13x15
VEL-ORG	Velantra Bag Organizer - Large (11.4x5.5x7.1 in)	VEL-ORG-LG	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/image_CIs.png	0	TBC	29x14x18
VEL-SCF	Velantra Bag Scarf - Green Plant Leaf	VEL-SCF-GPL	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_36.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Running Horse	VEL-SCF-RHS	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_37.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Pink Jellyfish	VEL-SCF-PJF	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_34.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Rice Flower	VEL-SCF-RFL	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_35.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Brown Line	VEL-SCF-BLI	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_31.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Checkered White	VEL-SCF-CKW	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_29_210e8e13-675d-483b-96ce-473423bc864e.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Little Emerald Flower	VEL-SCF-LEF	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_30.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Plain Dot	VEL-SCF-PDT	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_28.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - White Lined	VEL-SCF-WLN	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_27.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - White Striped	VEL-SCF-WST	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_32.png	0	TBC	TBC
VEL-SCF	Velantra Bag Scarf - Black Lined	VEL-SCF-BLN	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_25.png	0	TBC	TBC
VEL-CHM-HRS	Velantra Horse Charm - Brown	VEL-CHM-HRS-BRN	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_1.png	0	TBC	TBC
VEL-CHM-HRS	Velantra Horse Charm - Dark Brown	VEL-CHM-HRS-DBR	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_3.png	0	TBC	TBC
VEL-CHM-HRS	Velantra Horse Charm - Crimson	VEL-CHM-HRS-CRI	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora_2.png	0	TBC	TBC
VEL-CHM-HRS	Velantra Horse Charm - Matte	VEL-CHM-HRS-MAT	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/Untitled_image-Pacdora.png	0	TBC	TBC
VEL-CHM-HRS	Velantra Horse Charm - Verdant	VEL-CHM-HRS-VRD	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/horse_charm_hero.png	0	TBC	TBC
VEL-CHM-CHY	Velantra Cherry Charm - Cherry Red	VEL-CHM-CHY-CHR	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/cherry_charm_hero.png	0	TBC	TBC
VEL-CHM-CHY	Velantra Cherry Charm - Midnight Black	VEL-CHM-CHY-MBK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/image_PG2.png	0	TBC	TBC
VEL-CHM-CHY	Velantra Cherry Charm - Lady Pink	VEL-CHM-CHY-LPK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/image_HB8.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Navy	VEL-KEY-NVY	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_1.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Red	VEL-KEY-RED	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_2.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Emerald Green	VEL-KEY-EMG	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_3.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Lady Pink	VEL-KEY-LPK	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_4.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Faded Blue	VEL-KEY-FBL	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_45.png	0	TBC	TBC
VEL-KEY	Boat Tote Keychain - Lineman	VEL-KEY-LNM	https://cdn.shopify.com/s/files/1/0627/4092/2433/files/boat_tote_chain_6.png	0	TBC	TBC
